diseaseId,name,therapeuticAreas
MONDO_0009979,reticular dystrophy of the retinal pigment epithelium,"['MONDO_0002025', 'OTAR_0000018', 'MONDO_0024458', 'EFO_0000618']"
MONDO_0018998,Leber congenital amaurosis,"['MONDO_0002025', 'OTAR_0000018', 'EFO_0000618', 'MONDO_0024458']"
MONDO_0005090,schizophrenia,"['MONDO_0002025', 'EFO_0000618']"
EFO_1000017,autosomal recessive disease,['OTAR_0000018']
HP_0012115,Hepatitis,['EFO_0000651']
EFO_0005597,methylmalonic aciduria and homocystinuria type cblG,['OTAR_0000018']
EFO_0003758,autism,"['MONDO_0002025', 'EFO_0000618']"
Orphanet_253,Spondyloepiphyseal dysplasia and spondyloepimetaphyseal dysplasia,"['OTAR_0000006', 'OTAR_0000018']"
MONDO_0007639,fundus albipunctatus,"['MONDO_0002025', 'OTAR_0000018', 'MONDO_0024458', 'EFO_0000618']"
MONDO_0011719,gastrointestinal stromal tumor,"['OTAR_0000018', 'MONDO_0045024', 'EFO_0010282']"
EFO_0002618,pancreatic carcinoma,"['MONDO_0045024', 'EFO_0001379', 'EFO_0009605', 'EFO_0010282']"
Orphanet_79062,Disorder of amino acid and other organic acid metabolism,"['OTAR_0000018', 'OTAR_0000020']"
EFO_0005579,pseudohermaphroditism,"['OTAR_0000017', 'OTAR_0000018', 'EFO_0001379']"
Orphanet_79282,"Methylmalonic acidemia with homocystinuria, type cblC","['OTAR_0000020', 'MONDO_0024458', 'EFO_0005803', 'OTAR_0000018']"
MONDO_0019200,retinitis pigmentosa,"['MONDO_0002025', 'OTAR_0000018', 'OTAR_0000020', 'MONDO_0024458', 'EFO_0000618']"
Orphanet_758,Pseudoxanthoma elasticum,"['OTAR_0000006', 'EFO_0009690', 'MONDO_0024458', 'EFO_0000319', 'OTAR_0000018', 'EFO_0010285']"
EFO_0007318,hyperinsulinemic hypoglycemia,"['OTAR_0000018', 'EFO_0001379', 'OTAR_0000020']"
MONDO_0010180,autosomal recessive spondylocostal dysostosis,"['OTAR_0000006', 'OTAR_0000018', 'OTAR_0000020']"
MONDO_0009928,pulmonary alveolar microlithiasis,"['OTAR_0000018', 'OTAR_0000010']"
MONDO_0019350,hereditary spherocytosis,"['OTAR_0000018', 'EFO_0005803']"
Orphanet_263297,Glycogen storage disease due to glycogenin deficiency,"['OTAR_0000006', 'OTAR_0000018', 'OTAR_0000020']"
