pathwayName,searchTerms,genes,library,diseaseId,name,therapeuticAreas
- Reg of Single Stranded Viral RNA Replication via Double Stranded DNA Intermediate (GO:0045869),viral,APOBEC3D,GO_Biological_Process_2025,EFO_0000763,viral disease,['EFO_0005741']
- Reg of Single Stranded Viral RNA Replication via Double Stranded DNA Intermediate (GO:0045869),viral,APOBEC3F,GO_Biological_Process_2025,EFO_0000763,viral disease,['EFO_0005741']
- Reg of Single Stranded Viral RNA Replication via Double Stranded DNA Intermediate (GO:0045869),viral,APOBEC3G,GO_Biological_Process_2025,EFO_0000763,viral disease,['EFO_0005741']
- Reg of Single Stranded Viral RNA Replication via Double Stranded DNA Intermediate (GO:0045869),viral,APOBEC3H,GO_Biological_Process_2025,EFO_0000763,viral disease,['EFO_0005741']
- Reg of Single Stranded Viral RNA Replication via Double Stranded DNA Intermediate (GO:0045869),viral,APOBEC3A_B,GO_Biological_Process_2025,EFO_0000763,viral disease,['EFO_0005741']
- Reg of Single Stranded Viral RNA Replication via Double Stranded DNA Intermediate (GO:0045869),viral,HMGA2,GO_Biological_Process_2025,EFO_0000763,viral disease,['EFO_0005741']
- Reg of Single Stranded Viral RNA Replication via Double Stranded DNA Intermediate (GO:0045869),viral,INPP5K,GO_Biological_Process_2025,EFO_0000763,viral disease,['EFO_0005741']
- Reg of Single Stranded Viral RNA Replication via Double Stranded DNA Intermediate (GO:0045869),viral,APOBEC3B,GO_Biological_Process_2025,EFO_0000763,viral disease,['EFO_0005741']
- Reg of Single Stranded Viral RNA Replication via Double Stranded DNA Intermediate (GO:0045869),viral,APOBEC3C,GO_Biological_Process_2025,EFO_0000763,viral disease,['EFO_0005741']
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,CD320,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020']
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,SLC12A3,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020']
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,SLC12A4,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020']
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,NIPSNAP3B,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020']
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,CKMT1A,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020']
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,MGA,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020']
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,SOX15,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020']
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,WDR76,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020']
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,BTBD10,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020']
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,DCLK2,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020']
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,HPCAL4,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020']
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,HNRNPM,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020']
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,FNDC4,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020']
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,MYL7,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020']
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,DDX39B,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020']
