pathwayName,searchTerms,genes,library,diseaseId,name,therapeuticAreas,id
- Reg of Single Stranded Viral RNA Replication via Double Stranded DNA Intermediate (GO:0045869),viral,APOBEC3D,GO_Biological_Process_2025,EFO_0000763,viral disease,['EFO_0005741'],ENSG00000243811
- Reg of Single Stranded Viral RNA Replication via Double Stranded DNA Intermediate (GO:0045869),viral,APOBEC3F,GO_Biological_Process_2025,EFO_0000763,viral disease,['EFO_0005741'],ENSG00000128394
- Reg of Single Stranded Viral RNA Replication via Double Stranded DNA Intermediate (GO:0045869),viral,APOBEC3G,GO_Biological_Process_2025,EFO_0000763,viral disease,['EFO_0005741'],ENSG00000239713
- Reg of Single Stranded Viral RNA Replication via Double Stranded DNA Intermediate (GO:0045869),viral,APOBEC3H,GO_Biological_Process_2025,EFO_0000763,viral disease,['EFO_0005741'],ENSG00000100298
- Reg of Single Stranded Viral RNA Replication via Double Stranded DNA Intermediate (GO:0045869),viral,APOBEC3A_B,GO_Biological_Process_2025,EFO_0000763,viral disease,['EFO_0005741'],
- Reg of Single Stranded Viral RNA Replication via Double Stranded DNA Intermediate (GO:0045869),viral,HMGA2,GO_Biological_Process_2025,EFO_0000763,viral disease,['EFO_0005741'],ENSG00000149948
- Reg of Single Stranded Viral RNA Replication via Double Stranded DNA Intermediate (GO:0045869),viral,INPP5K,GO_Biological_Process_2025,EFO_0000763,viral disease,['EFO_0005741'],ENSG00000132376
- Reg of Single Stranded Viral RNA Replication via Double Stranded DNA Intermediate (GO:0045869),viral,APOBEC3B,GO_Biological_Process_2025,EFO_0000763,viral disease,['EFO_0005741'],ENSG00000179750
- Reg of Single Stranded Viral RNA Replication via Double Stranded DNA Intermediate (GO:0045869),viral,APOBEC3C,GO_Biological_Process_2025,EFO_0000763,viral disease,['EFO_0005741'],ENSG00000244509
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,CD320,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000167775
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,SLC12A3,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000070915
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,SLC12A4,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000124067
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,NIPSNAP3B,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000165028
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,CKMT1A,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000223572
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,MGA,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000174197
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,SOX15,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000129194
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,WDR76,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000092470
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,BTBD10,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000148925
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,DCLK2,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000170390
