pathwayName,searchTerms,genes,library,diseaseId,name,therapeuticAreas
- Reg of Single Stranded Viral RNA Replication via Double Stranded DNA Intermediate (GO:0045869),viral,APOBEC3D,GO_Biological_Process_2025,EFO_0000763,viral disease,['EFO_0005741']
- Reg of Single Stranded Viral RNA Replication via Double Stranded DNA Intermediate (GO:0045869),viral,APOBEC3F,GO_Biological_Process_2025,EFO_0000763,viral disease,['EFO_0005741']
- Reg of Single Stranded Viral RNA Replication via Double Stranded DNA Intermediate (GO:0045869),viral,APOBEC3G,GO_Biological_Process_2025,EFO_0000763,viral disease,['EFO_0005741']
- Reg of Single Stranded Viral RNA Replication via Double Stranded DNA Intermediate (GO:0045869),viral,APOBEC3H,GO_Biological_Process_2025,EFO_0000763,viral disease,['EFO_0005741']
- Reg of Single Stranded Viral RNA Replication via Double Stranded DNA Intermediate (GO:0045869),viral,APOBEC3A_B,GO_Biological_Process_2025,EFO_0000763,viral disease,['EFO_0005741']
- Reg of Single Stranded Viral RNA Replication via Double Stranded DNA Intermediate (GO:0045869),viral,HMGA2,GO_Biological_Process_2025,EFO_0000763,viral disease,['EFO_0005741']
- Reg of Single Stranded Viral RNA Replication via Double Stranded DNA Intermediate (GO:0045869),viral,INPP5K,GO_Biological_Process_2025,EFO_0000763,viral disease,['EFO_0005741']
- Reg of Single Stranded Viral RNA Replication via Double Stranded DNA Intermediate (GO:0045869),viral,APOBEC3B,GO_Biological_Process_2025,EFO_0000763,viral disease,['EFO_0005741']
- Reg of Single Stranded Viral RNA Replication via Double Stranded DNA Intermediate (GO:0045869),viral,APOBEC3C,GO_Biological_Process_2025,EFO_0000763,viral disease,['EFO_0005741']
Acute Myeloid Leukemia WP5293,leukem,DUSP6,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,BAD,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,JUP,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,ZBTB16,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,RUNX1,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,BRAF,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,IL3,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,PML,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,PIK3CB,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,PIK3CA,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,RARA,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,SOS2,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,RAF1,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,SOS1,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,LEF1,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
Acute Myeloid Leukemia WP5293,leukem,RELA,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']"
