pathwayName,searchTerms,genes,library,diseaseId,name,therapeuticAreas,id
- Reg of Single Stranded Viral RNA Replication via Double Stranded DNA Intermediate (GO:0045869),viral,APOBEC3D,GO_Biological_Process_2025,EFO_0000763,viral disease,['EFO_0005741'],ENSG00000243811
- Reg of Single Stranded Viral RNA Replication via Double Stranded DNA Intermediate (GO:0045869),viral,APOBEC3F,GO_Biological_Process_2025,EFO_0000763,viral disease,['EFO_0005741'],ENSG00000128394
- Reg of Single Stranded Viral RNA Replication via Double Stranded DNA Intermediate (GO:0045869),viral,APOBEC3G,GO_Biological_Process_2025,EFO_0000763,viral disease,['EFO_0005741'],ENSG00000239713
- Reg of Single Stranded Viral RNA Replication via Double Stranded DNA Intermediate (GO:0045869),viral,APOBEC3H,GO_Biological_Process_2025,EFO_0000763,viral disease,['EFO_0005741'],ENSG00000100298
- Reg of Single Stranded Viral RNA Replication via Double Stranded DNA Intermediate (GO:0045869),viral,APOBEC3A_B,GO_Biological_Process_2025,EFO_0000763,viral disease,['EFO_0005741'],
- Reg of Single Stranded Viral RNA Replication via Double Stranded DNA Intermediate (GO:0045869),viral,HMGA2,GO_Biological_Process_2025,EFO_0000763,viral disease,['EFO_0005741'],ENSG00000149948
- Reg of Single Stranded Viral RNA Replication via Double Stranded DNA Intermediate (GO:0045869),viral,INPP5K,GO_Biological_Process_2025,EFO_0000763,viral disease,['EFO_0005741'],ENSG00000132376
- Reg of Single Stranded Viral RNA Replication via Double Stranded DNA Intermediate (GO:0045869),viral,APOBEC3B,GO_Biological_Process_2025,EFO_0000763,viral disease,['EFO_0005741'],ENSG00000179750
- Reg of Single Stranded Viral RNA Replication via Double Stranded DNA Intermediate (GO:0045869),viral,APOBEC3C,GO_Biological_Process_2025,EFO_0000763,viral disease,['EFO_0005741'],ENSG00000244509
Acute Myeloid Leukemia WP5293,leukem,DUSP6,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']",ENSG00000139318
Acute Myeloid Leukemia WP5293,leukem,BAD,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']",ENSG00000002330
Acute Myeloid Leukemia WP5293,leukem,JUP,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']",ENSG00000173801
Acute Myeloid Leukemia WP5293,leukem,ZBTB16,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']",ENSG00000109906
Acute Myeloid Leukemia WP5293,leukem,RUNX1,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']",ENSG00000159216
Acute Myeloid Leukemia WP5293,leukem,BRAF,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']",ENSG00000157764
Acute Myeloid Leukemia WP5293,leukem,IL3,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']",ENSG00000164399
Acute Myeloid Leukemia WP5293,leukem,PML,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']",ENSG00000140464
Acute Myeloid Leukemia WP5293,leukem,PIK3CB,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']",ENSG00000051382
Acute Myeloid Leukemia WP5293,leukem,PIK3CA,WikiPathways_2024_Human,EFO_0000565,leukemia,"['MONDO_0045024', 'EFO_0005803']",ENSG00000121879
